	changeHistory	highlight	experimentProperties	variablesTable	worldSketch	objectProperties	worldsMenu	worldDrawing	textureSketch	shapeProperties	textureDrawing
startProgram	1	worldsMenu	1	1	1	1	1	1	1	1	1
editCode	0	0	0	0	0	0	0	0	0	0	0
runMacro	1	0	1	1	1	1	1	1	1	1	1
changeMacroSettings	1	0	0	0	0	0	0	0	0	0	0
selectShape	1	0	0	0	0	0	0	0	1	1	1
addShape	1	textureSketch	0	0	0	0	0	0	1	1	0
deleteShape	1	textureSketch	0	0	0	0	0	0	1	1	0
computeTexture	1	0	0	0	0	1	1	1	0	0	1
refineTexture	0	0	0	0	0	0	0	0	0	0	0
changeTextureRefining	1	0	0	1	0	1	1	1	0	0	1
changeTriangulationVisibility	1	0	0	0	0	1	0	0	0	0	1
changeTriangulationColor	1	0	0	0	0	1	0	0	0	0	1
zoomOnTexture	1	textureSketch	0	0	0	0	0	0	1	0	1
zoomOnWorld	1	worldSketch	0	0	1	0	0	0	0	0	0
selectObject	1	0	0	0	1	1	0	0	1	1	1
addObject	1	worldSketch	0	0	1	1	1	0	1	1	1
deleteObject	1	worldSketch	0	0	1	1	1	1	1	1	1
changeWorldBackground	1	0	0	0	0	1	0	1	0	0	1
changeWorldTransparency	1	0	0	0	0	0	0	1	0	0	0
switchWireframe	1	0	0	0	0	0	0	1	0	0	0
changeView	0	0	0	0	0	0	0	0	0	0	0
rotateView	0	0	0	0	0	0	0	0	0	0	0
changeTiling	1	objectProperties	0	1	0	1	0	1	0	0	0
renameObject	1	objectProperties	0	0	0	1	0	0	0	0	0
sortObjects	1	objectProperties	0	0	0	1	0	0	0	0	0
changeObjectProperties	1	objectProperties	0	1	1	1	1	1	0	0	0
changeObjectLocations	1	0	0	1	1	1	1	1	0	0	0
changeSymbolicObjectLocations	1	objectProperties	0	1	1	1	1	1	0	0	0
renameShape	1	shapeProperties	0	0	0	0	0	0	0	1	0
sortShapes	1	shapeProperties	0	0	0	0	0	0	0	1	0
changeShapeProperties	1	shapeProperties	0	1	0	0	0	0	1	1	0
changeShapeLocations	1	0	0	1	0	0	0	0	1	1	0
changeSymbolicShapeLocations	1	shapeProperties	0	1	0	0	0	0	1	1	0
changeLayout	0	0	0	0	0	0	0	0	0	0	0
builtinLayout	0	0	0	0	0	0	0	0	0	0	0
changeVariables	1	variablesTable	1	1	1	1	1	1	1	1	1
saveExperiment	0	0	1	0	0	0	0	0	0	0	0
openExperiment	0	0	1	1	1	1	1	1	1	1	1
newExperiment	0	0	1	1	1	1	1	1	1	1	1
changeHistory	0	0	1	1	1	1	1	1	1	1	1
changeExperimentProperties	1	experimentProperties	1	0	0	0	0	0	0	0	0
selectWorld	1	worldsMenu	0	0	1	1	1	1	1	1	1
editWorld	0	worldSketch	0	0	1	1	1	1	1	1	1
renameWorld	1	worldsMenu	0	0	1	0	1	1	0	0	0
sortWorlds	1	worldsMenu	0	0	0	0	1	0	0	0	0
addWorld	1	worldsMenu	0	0	1	1	1	1	1	1	1
deleteWorld	1	worldsMenu	0	0	1	1	1	1	1	1	1
addVariable	1	variablesTable	0	1	0	0	0	0	0	0	0
deleteVariables	1	variablesTable	0	1	0	0	0	0	0	0	0
renameVariables	1	variablesTable	0	1	0	1	0	0	0	1	0
sortVariables	1	variablesTable	0	1	0	0	0	0	0	0	0
addObjectLocation	1	objectProperties	0	1	1	1	1	1	0	0	0
deleteObjectLocations	1	objectProperties	0	1	1	1	1	1	0	0	0
addShapeLocation	1	shapeProperties	0	1	0	0	0	0	1	1	0
deleteShapeLocations	1	shapeProperties	0	1	0	0	0	0	1	1	0
importWorld	1	worldsMenu	0	1	1	1	1	1	1	1	1
importObject	1	worldSketch	0	1	1	1	1	1	1	1	1
importTexture	1	textureSketch	0	1	0	1	0	1	1	1	1
loadImage	1	textureSketch	0	1	0	1	0	1	1	1	1
run	0	0	1	0	0	0	0	0	0	0	0
listVariables	0	0	0	1	0	0	0	0	0	0	0
export	0	0	0	0	0	0	0	0	0	0	0
manual	0	0	0	0	0	0	0	0	0	0	0
about	0	0	0	0	0	0	0	0	0	0	0
resizeFigure	0	0	0	0	1	0	1	0	1	0	1
closeProgram	0	0	0	0	0	0	0	0	0	0	0
LAYOUT	0	0	0	0	0	0	0	0	0	0	0
